"Date","Return","Vol_HAR","VaR_HAR_1","ES_HAR_1","VaR_HAR_5","ES_HAR_5","RV_AAPL"
2016-12-12,0.50346129647,1.14447642439038,-3.11670441921854,-4.14981909631657,-1.98287431063625,-2.79671865559125,0.779102686323132
2016-12-13,-0.19679756706,1.15128817774543,-3.13606722384283,-4.17542741890915,-1.99558708823627,-2.81409587975028,0.871067722711471
2016-12-15,-0.098592811628,1.09960257095158,-2.9901030951652,-3.98284374031468,-1.90092396640383,-2.68253751546197,1.08217675480276
2016-12-16,-0.84335187512,1.10161840246774,-2.99538983333569,-3.98984015046984,-1.90433634526744,-2.6873118780704,0.589052342791191
2016-12-19,-0.93195801655,1.12382982311986,-3.05838532007595,-4.07298412659778,-1.94532339878375,-2.74406241371754,0.60061905796345
2016-12-20,0.37446342121,1.06651824170322,-2.89674764659673,-3.85965952691565,-1.84040513925997,-2.5984564037581,0.33626018402206
2016-12-21,-0.71883530482,1.04383643806788,-2.83255735729194,-3.77498679248348,-1.79876897574755,-2.54060138246258,0.399357657167143
2016-12-22,0.76986527347,0.99395306163066,-2.69213349112478,-3.58947887807212,-1.70751412878987,-2.41424015675065,0.479907400875372
2016-12-23,0.9822646658,0.970950457539896,-2.62682859615615,-3.50335336167582,-1.66512201354976,-2.35536002528971,0.446462023204466
2016-12-27,0.98171665304,0.943106467476358,-2.54808801387573,-3.39937259669602,-1.61395126696748,-2.28446467651015,0.268401170330639
2016-12-28,1.6321798073,0.930521158695231,-2.51252195350436,-3.3525073596695,-1.59092492852796,-2.25237208854604,0.536540604310451
2016-12-29,-0.57042562512,0.892193693623072,-2.40441397464076,-3.20988643185863,-1.520803120871,-2.15492836173845,0.341630689438447
2016-12-30,1.6681376874,0.929375707105586,-2.51085455290232,-3.35001114387614,-1.58055037477958,-2.24501878648716,0.832718673970078
2017-01-03,0,0.907857871206037,-2.45049978376598,-3.27020800466455,-1.54201554637325,-2.19087040886341,0.909289487479885
2017-01-04,0.54692247595,0.975062277241893,-2.6400611426049,-3.52050540325026,-1.66411481747742,-2.36117398190574,0.443377719725056
2017-01-05,0.12951131084,1.00726217329017,-2.73160988087574,-3.64145085750038,-1.72266267395574,-2.44337685757683,0.529120826245758
2017-01-06,0.5777356213,0.973595683437939,-2.63704738900441,-3.5165412938294,-1.66190766669448,-2.35846484451741,0.724598323876314
2017-01-09,0.26577503413,0.977738247863861,-2.64908318173108,-3.53256379774284,-1.6691081511675,-2.36920834663594,0.625534846340238
2017-01-10,0.094057289607,1.01446453782173,-2.75221934321931,-3.66892311298148,-1.73480307863439,-2.46172153082347,0.574370777126894
2017-01-11,-0.65778233393,0.99216883623413,-2.68941283347684,-3.58607069734652,-1.69411129029084,-2.40526480949148,0.597977392399985
2017-01-12,0.19778140868,0.968756692071501,-2.62274509109265,-3.49809697230598,-1.65107060246173,-2.34530167121843,0.583787933788201
2017-01-13,0.63508410567,0.978756789262237,-2.65067468630415,-3.53498522602913,-1.66895473086537,-2.37034990543264,0.355528446715992
2017-01-17,-0.42640286547,0.980064745142833,-2.65417289932451,-3.53955149281776,-1.67134930101397,-2.37349327149457,0.638287196823893
2017-01-18,-0.025693730731,0.936040619492821,-2.51823518192382,-3.3475650018877,-1.58271902652968,-2.24845882157517,0.489160808541121
2017-01-19,-0.77957680123,0.962358684623727,-2.59202641715228,-3.44470083281742,-1.63036126972894,-2.31471599943773,0.397596951170861
2017-01-20,0.28492488364,0.942383403100049,-2.53617614905894,-3.37116529729469,-1.59435185815504,-2.26459097894619,0.301723157210188
2017-01-23,-0.11192423589,0.919345168835417,-2.47132880181523,-3.28629010933762,-1.55304579599986,-2.20659681864131,0.434213907106056
2017-01-24,0.50853301145,0.891662325257021,-2.39366202575462,-3.18436948009199,-1.50332207110785,-2.13702576682924,0.175274822704196
2017-01-25,1.1148272019,0.908950621580632,-2.44177051115346,-3.24773902941193,-1.53428362508999,-2.18020293613281,0.325701692356801
