"Date","Return","Vol_GARCH","Vol_MSGARCH","Vol_GAS","VaR_GARCH_1","VaR_MSGARCH_1","VaR_GAS_1","ES_GARCH_1","ES_MSGARCH_1","ES_GAS_1","VaR_GARCH_5","VaR_MSGARCH_5","VaR_GAS_5","ES_GARCH_5","ES_MSGARCH_5","ES_GAS_5","RV_AAPL"
2014-04-03,-0.4818732823,1.42969604972153,1.42884150301723,1.21713608012735,-3.32804226666509,-3.39589581958008,-2.73906111336488,-4.50078896388546,-4.4721524513027,-3.72705197298751,-2.01068265383773,-2.00743769855261,-1.71154822294601,-2.88920486274082,-2.86988661528367,-2.40030072057995,0.438648093680509
2014-04-04,0.78872706617,1.411558713159,1.45424475901912,1.20192753714897,-3.28443377208161,-3.38198099355765,-2.70045998572963,-4.44211268637144,-4.52438100957423,-3.67671921090506,-1.98148057527219,-2.06328638251076,-1.68596647145484,-2.8508762237851,-2.91410626622071,-2.36695569078571,0.765601679341988
2014-04-07,1.1860303641,1.38461234645732,1.4928113250473,1.17415243897813,-3.21702630168577,-3.44115830618269,-2.65260596949507,-4.35444484504366,-4.60463901572479,-3.61362796233131,-1.9483718556988,-2.09479299601859,-1.65653332934159,-2.79921821302315,-2.97534191160725,-2.32821151596117,1.19793509699472
2014-04-08,1.0756876054,1.38058939526833,1.47986655490148,1.18898875260981,-3.20887937005906,-3.41279597185587,-2.68642027654732,-4.34299893346462,-4.574459626972,-3.65927146806759,-1.94319121373489,-2.08884693428627,-1.67765286577076,-2.79129105204732,-2.95487618125289,-2.35804096433898,1.19040136778299
2014-04-09,-0.95598084372,1.37332959281822,1.26938586448462,1.19037639650999,-3.18926615919747,-2.97890203498806,-2.69090379622399,-4.31573216958915,-3.98303942169631,-3.66709428509936,-1.93067901616513,-1.7925628159405,-1.6811360453538,-2.77371681682449,-2.56264688085296,-2.36401981737934,0.690249929704555
2014-04-10,-0.42980473545,1.37634031462201,1.40219774250908,1.21588337164218,-3.19538619003179,-3.202107833699,-2.75436177429677,-4.32389626103119,-4.26583286501509,-3.75176753821001,-1.93435573677241,-1.92285556704318,-1.72210124673543,-2.77908901348304,-2.73833342855822,-2.42038323709324,0.877223309914358
2014-04-11,-0.11163621456,1.35889481843894,1.3898759566986,1.1973387063171,-3.15602753518048,-3.17000727259313,-2.70815366423649,-4.26921181005739,-4.22769915670121,-3.69045992256114,-1.91015299250446,-1.90427944064758,-1.69207677714204,-2.7427080020467,-2.71205240072953,-2.37920360307927,1.20813477783128
2014-04-14,-0.022352196083,1.33561588313812,1.37206267545551,1.16295086627804,-3.10242534290031,-3.12290100060279,-2.62292724732595,-4.19496901458147,-4.17057780259794,-3.57770436199786,-1.877155738739,-1.87492551280549,-1.6367179020299,-2.69354382312256,-2.67413301153391,-2.30412894099435,0.915606730967778
2014-04-15,0.91478183094,1.31175933620866,1.35569123223861,1.1267599643748,-3.04715193699433,-3.08619709136713,-2.53460582947293,-4.11838721439358,-4.11503723363816,-3.45893826093914,-1.84140800390915,-1.84802982625923,-1.57989097212721,-2.64290608869218,-2.63878569766426,-2.22522784799057,1.12754602201323
2014-04-16,0.16615895875,1.30166763794921,1.34757472213056,1.12031431373877,-3.02236954400419,-3.0641537258866,-2.52151032233096,-4.08355291502617,-4.08921948132877,-3.43872990141249,-1.82464636541812,-1.83656317709421,-1.56903618741514,-2.61999710750393,-2.62143110443052,-2.21236240609012,0.847771864878289
