"Date","Returns","Sigma2_GARCH","Sigma2_GAS","Sigma2_MSGARCH","RV_AMZN"
2013-02-14,-0.085352729366,4.62817443273777,5.55610108943429,5.64543507280493,2.51000625563636
2013-02-15,-1.5413757244,4.83227435146526,6.2502615944983,6.77004463764056,2.0481269536453
2013-02-19,1.7578935456,4.77173731991094,5.89322983221324,5.76139164975906,1.31819503484801
2013-02-20,-1.2381835032,4.74607800975809,5.86862929519291,5.70610806314417,3.47713541631351
2013-02-21,-0.17641980412,4.71491105126458,5.84247030206922,5.73583618120532,2.44449431980959
2013-02-22,-0.195532827,4.66141461958286,5.71207889726808,5.68519352792241,1.9461987310228
2013-02-25,-2.0910255443,4.58116819195529,5.42024291058175,5.54783839582429,2.75530138829878
2013-02-26,-0.19625197228,4.53412733667454,5.11118362849871,5.50597778318976,3.87976478089069
2013-02-27,1.4998457744,4.54373463097062,5.29772900574643,5.63212565789869,2.76673119964123
2013-02-28,0.3874643875,4.4829882715759,4.99991410291194,5.44749759935641,2.25299585343368
2013-03-01,0.55624929064,4.44769794100804,4.96942639608188,5.44326508604228,2.12340347977149
2013-03-04,2.7733875215,4.38688703183222,4.70838741976091,5.3659022855417,2.43320833207989
2013-03-05,0.90805902382,4.33401655352324,4.50360554148975,5.32344934103844,3.35824735008363
2013-03-06,-0.65314416333,4.3904947743529,4.84892059576118,5.61155828279249,1.55376335214231
2013-03-07,0.032871909207,4.3448640974778,4.66778934601371,5.31514689900259,1.54385053379753
2013-03-08,0.11318825763,4.28923445206712,4.47258776885027,5.23102209192503,1.02064943247762
2013-03-11,-1.0758962761,4.2322425846553,4.2273610352116,5.16536573249987,0.778922276878229
2013-03-12,1.0654770682,4.1665653924964,4.01370967693663,5.11706856704166,3.46347598860388
2013-03-13,0.35384671519,4.13068708849981,3.95332036568737,5.14283024641499,1.85533582481118
2013-03-14,-3.4023991276,4.08573188617354,3.86553687124585,4.91734771088332,2.00100451466479
2013-03-15,-1.4751260633,4.05383855577822,3.67905331541833,4.99902586981237,1.57651699609482
2013-03-18,-1.5010312427,4.22688330844061,4.15684817590582,6.57879750329967,2.25654647474049
2013-03-19,-0.57388809182,4.22066821530627,4.17899633128727,5.26548680512062,2.83229348541759
2013-03-20,0.3385203383,4.19318371365038,4.22050502379505,5.23115887496066,2.4377517983996
2013-03-21,-1.5112057774,4.14575091722793,4.04960934541507,4.92203489725932,1.14768452771263
2013-03-22,1.7206677454,4.08410589388557,3.85036030250641,4.97682522376049,1.64720032771836
2013-03-25,-0.67119301648,4.08791468422267,3.90394495469185,5.09616092098569,2.46174638110462
2013-03-26,1.6756503399,4.07650489443344,3.98438944606326,5.05902342333101,1.44625755027571
2013-03-27,1.9169451807,4.02874569339242,3.84678166005372,4.9526117306083,2.6479982415375
2013-03-28,0.44854881271,4.01620010981409,3.92188704110027,5.0534260246721,1.08633137214637
2013-04-01,-1.8312131788,4.00236171367136,4.06505000899949,5.11071718668568,1.67606577809911
2013-04-02,0.65440923518,3.95519128103131,3.87939020903732,4.78821190387431,1.59912886011244
2013-04-03,-1.6299435673,3.9599101998168,3.98519950396527,5.09650854860671,1.24675563634429
